EOS,sigma,Lambda1p4_GR,Lambda1p4_median,Lambda1p4_p5,Lambda1p4_p95,DeltaLambda1p4_median,DeltaLambda1p4_p5,DeltaLambda1p4_p95,mc_samples
SLy,0.04010050251256281,455.0502509224901,471.05287308877416,441.9135378316247,502.0795077244752,16.00262216628411,-13.136713090865394,47.02925680198513,1000
SLy,0.04040201005025125,455.0502509224901,471.1116967019344,442.2583830687886,502.13882477913376,16.06144577944435,-12.791867853701486,47.08857385664367,1000
SLy,0.04070351758793969,455.0502509224901,471.2810744548544,442.6114044558476,502.11376225213127,16.230823532364322,-12.438846466642497,47.06351132964117,1000
SLy,0.04100502512562813,455.0502509224901,471.534168597837,443.1168086787124,501.97897623472795,16.48391767534688,-11.933442243777675,46.92872531223787,1000
SLy,0.041306532663316575,455.0502509224901,471.65784541382277,443.4077654410888,502.27290585087536,16.607594491332698,-11.642485481401264,47.22265492838528,1000
SLy,0.04160804020100502,455.0502509224901,471.953465304682,444.0754947084358,501.9518697027279,16.903214382191976,-10.974756214054281,46.901618780237804,1000
SLy,0.041909547738693466,455.0502509224901,472.1600559094749,444.13499750685065,501.7008419634375,17.10980498698484,-10.915253415639443,46.65059104094741,1000
SLy,0.04221105527638191,455.0502509224901,472.1370893080925,444.47265093513215,501.5738893533557,17.086838385602423,-10.577599987357956,46.52363843086561,1000
SLy,0.04251256281407035,455.0502509224901,472.2897883249665,444.6304225815822,501.57042839957836,17.239537402476383,-10.419828340907891,46.52017747708827,1000
SLy,0.04281407035175879,455.0502509224901,472.5692788750291,444.8540200238266,501.572520005694,17.51902795253906,-10.196230898663515,46.52226908320393,1000
SLy,0.04311557788944723,455.0502509224901,472.7659792469635,445.18002395802256,501.59265241724324,17.715728324473474,-9.870226964467532,46.54240149475318,1000
SLy,0.043417085427135675,455.0502509224901,472.9492709346858,445.23043848953824,501.540818294836,17.899020012195702,-9.819812432951824,46.490567372345915,1000
SLy,0.04371859296482412,455.0502509224901,473.15176527796575,445.6041872571213,501.7190716533523,18.101514355475683,-9.446063665368813,46.668820730862215,1000
SLy,0.04402010050251256,455.0502509224901,473.07083792892,445.8159769855252,501.6352037720598,18.020587006429963,-9.23427393696489,46.58495284956972,1000
SLy,0.044321608040201,455.0502509224901,473.1354092516633,446.1763352590243,501.8482636390151,18.085158329173236,-8.873915663465757,46.79801271652503,1000
SLy,0.04462311557788944,455.0502509224901,473.2722401661363,446.226181455858,502.23432853308634,18.22198924364625,-8.82406946663209,47.18407761059625,1000
SLy,0.044924623115577884,455.0502509224901,473.378471138056,446.30666071923446,502.14134738170117,18.328220215565935,-8.743590203255625,47.09109645921111,1000
SLy,0.045226130653266326,455.0502509224901,473.6031442352659,446.3618050546736,502.00174886495194,18.552893312775822,-8.688445867816505,46.951497942461835,1000
SLy,0.04552763819095477,455.0502509224901,473.67081621180114,446.17671802202466,501.89898457329383,18.620565289311045,-8.87353290046544,46.848733650803766,1000
SLy,0.04582914572864321,455.0502509224901,473.6888226454329,446.29309251281524,501.5584088101165,18.638571722942824,-8.757158409674817,46.508157887626375,1000
SLy,0.04613065326633165,455.0502509224901,473.7354599812375,446.1899375512245,501.3345425708403,18.685209058747454,-8.86031337126558,46.28429164835025,1000
SLy,0.046432160804020094,455.0502509224901,474.0244917717899,446.28047790677306,501.1593071380526,18.974240849299797,-8.769773015717034,46.109056215562546,1000
SLy,0.046733668341708536,455.0502509224901,474.2130224832316,446.126424127665,500.9582163618692,19.16277156074152,-8.923826794825047,45.90796543937908,1000
SLy,0.04703517587939698,455.0502509224901,474.383834214188,446.69731863238417,501.0442259298077,19.333583291697952,-8.35293229010594,45.993975007317616,1000
SLy,0.04733668341708542,455.0502509224901,474.55010828909155,446.82881989620444,501.1007976491395,19.49985736660146,-8.221431026285655,46.05054672664942,1000
SLy,0.04763819095477386,455.0502509224901,474.6259699218157,446.8694158750013,501.3367772831204,19.575718999325574,-8.180835047488737,46.286526360630305,1000
SLy,0.0479396984924623,455.0502509224901,474.8286420756695,446.94041333972723,501.4186935984028,19.778391153179427,-8.109837582762824,46.368442675912696,1000
SLy,0.04824120603015075,455.0502509224901,475.14241054605543,447.02948721540656,501.75907144820434,20.09215962356534,-8.020763707083518,46.70882052571426,1000
SLy,0.048542713567839194,455.0502509224901,475.0620085292745,446.8383874652057,502.1336423886732,20.01175760678445,-8.211863457284398,47.08339146618314,1000
SLy,0.048844221105527635,455.0502509224901,475.0476017575213,446.861564868179,502.14324064625686,19.997350835031213,-8.188686054311054,47.092989723766784,1000
SLy,0.04914572864321608,455.0502509224901,475.1937603692556,447.1694801512929,502.3995217263556,20.143509446765506,-7.880770771197233,47.349270803865515,1000
SLy,0.04944723618090452,455.0502509224901,475.25149512995546,447.43417480671843,502.4520517220631,20.201244207465376,-7.616076115771635,47.40180079957305,1000
SLy,0.04974874371859296,455.0502509224901,475.4642053581989,447.435138039422,502.9460196354133,20.413954435708842,-7.615112883068072,47.89576871292322,1000
SLy,0.0500502512562814,455.0502509224901,475.62938447139004,447.4494407758196,503.2311954190918,20.57913354889996,-7.600810146670462,48.18094449660173,1000
