r_km,r_over_R,epsratio
5.0,0.4166666666666667,1.6426305211104694e-08
5.05,0.42083333333333334,1.635549308463769e-08
5.1,0.425,1.628477461064638e-08
5.1499999999999995,0.42916666666666664,1.6214165178566164e-08
5.2,0.43333333333333335,1.6143678871797043e-08
5.25,0.4375,1.607332844786946e-08
5.3,0.44166666666666665,1.6003125321154882e-08
5.35,0.4458333333333333,1.5933079548147932e-08
5.4,0.45,1.5863199815342197e-08
5.45,0.45416666666666666,1.5793493429716533e-08
5.5,0.4583333333333333,1.5723966311843995e-08
5.55,0.46249999999999997,1.5654622991630185e-08
5.6,0.4666666666666667,1.5585466606683093e-08
5.65,0.4708333333333333,1.551649890331114e-08
5.699999999999999,0.475,1.5447720240141362e-08
5.75,0.4791666666666667,1.5379129594344497e-08
5.8,0.48333333333333334,1.5310724570448856e-08
5.85,0.4875,1.5242501411719852e-08
5.8999999999999995,0.49166666666666664,1.5174455014077162e-08
5.95,0.49583333333333335,1.5106578942516743e-08
6.0,0.5,1.5038865449999998e-08
6.05,0.5041666666666667,1.4971305498767863e-08
6.1,0.5083333333333333,1.490388878403283e-08
6.1499999999999995,0.5125,1.4836603759997481e-08
6.199999999999999,0.5166666666666666,1.4769437668143677e-08
6.25,0.5208333333333334,1.4702376567732198e-08
6.300000000000001,0.525,1.463540536844851e-08
6.35,0.5291666666666667,1.4568507865126198e-08
6.4,0.5333333333333333,1.4501666774475787e-08
6.449999999999999,0.5375,1.4434863773742704e-08
6.5,0.5416666666666666,1.4368079541214733e-08
6.549999999999999,0.5458333333333333,1.4301293798495652e-08
6.6000000000000005,0.55,1.4234485354458504e-08
6.65,0.5541666666666667,1.4167632150788785e-08
6.7,0.5583333333333333,1.4100711309024933e-08
6.75,0.5625,1.4033699179000561e-08
6.8,0.5666666666666667,1.396657138859046e-08
6.85,0.5708333333333333,1.3899302894659872e-08
6.8999999999999995,0.575,1.3831868035114309e-08
6.949999999999999,0.5791666666666666,1.3764240581945301e-08
7.0,0.5833333333333334,1.3696393795165499e-08
7.050000000000001,0.5875,1.3628300477525105e-08
7.1,0.5916666666666667,1.3559933029900058e-08
7.15,0.5958333333333333,1.3491263507241415e-08
7.199999999999999,0.6,1.3422263674974248e-08
7.25,0.6041666666666666,1.3352905065733719e-08
7.299999999999999,0.6083333333333333,1.3283159036325503e-08
7.3500000000000005,0.6125,1.3212996824797332e-08
7.4,0.6166666666666667,1.3142389607508497e-08
7.45,0.6208333333333333,1.3071308556084128e-08
7.5,0.625,1.2999724894141605e-08
7.55,0.6291666666666667,1.2927609953676957e-08
7.6,0.6333333333333333,1.2854935230999845e-08
7.6499999999999995,0.6375,1.2781672442106957e-08
7.699999999999999,0.6416666666666666,1.2707793577384641e-08
7.75,0.6458333333333334,1.263327095553326e-08
7.800000000000001,0.65,1.25580772766073e-08
7.85,0.6541666666666667,1.2482185674067215e-08
7.9,0.6583333333333333,1.2405569765740975e-08
7.949999999999999,0.6625,1.2328203703595714e-08
8.0,0.6666666666666666,1.2250062222222223e-08
8.049999999999999,0.6708333333333333,1.2171120685937694e-08
8.100000000000001,0.675,1.209135513441518e-08
8.15,0.6791666666666667,1.2010742326750964e-08
8.2,0.6833333333333333,1.1929259783884471e-08
