r_km,r_over_R,epsratio
10.299999999999999,0.8583333333333333,0.0
10.35,0.8624999999999999,0.0
10.4,0.8666666666666667,0.0
10.45,0.8708333333333333,0.0
10.5,0.875,0.0
10.55,0.8791666666666667,0.0
10.6,0.8833333333333333,0.0
10.649999999999999,0.8875,0.0
10.7,0.8916666666666666,0.0
10.75,0.8958333333333334,0.0
10.8,0.9,0.0
10.85,0.9041666666666667,0.0
10.9,0.9083333333333333,0.0
10.95,0.9125,0.0
11.0,0.9166666666666666,0.0
11.049999999999999,0.9208333333333333,0.0
11.1,0.9249999999999999,0.0
11.15,0.9291666666666667,0.0
11.2,0.9333333333333333,0.0
11.25,0.9375,0.0
11.3,0.9416666666666667,0.0
11.35,0.9458333333333333,0.0
11.399999999999999,0.95,0.0
11.45,0.9541666666666666,0.0
11.5,0.9583333333333334,0.0
11.55,0.9625,0.0
11.6,0.9666666666666667,0.0
11.65,0.9708333333333333,0.0
11.7,0.975,0.0
11.75,0.9791666666666666,0.0
11.799999999999999,0.9833333333333333,0.0
11.85,0.9874999999999999,0.0
11.9,0.9916666666666667,0.0
11.95,0.9958333333333333,0.0
12.0,1.0,0.0
